Date, Open, High, Low, Close, Volume
04/11/24, 22.65, 22.91, 22.25, 22.84, 26399381
04/10/24, 22.22, 22.71, 22.01, 22.42, 28642930
04/09/24, 23.01, 23.0868, 22.46, 22.81, 27724529
04/08/24, 23.08, 23.20, 22.67, 23.00, 25022711
04/05/24, 22.42, 23.32, 22.3065, 22.96, 38716820
04/04/24, 23.82, 24.10, 22.40, 22.48, 64995301
04/03/24, 22.44, 23.01, 22.38, 22.70, 30357410
04/02/24, 22.00, 22.79, 21.72, 22.72, 39770566
04/01/24, 22.98, 23.21, 22.40, 22.86, 41000031
03/28/24, 24.17, 24.28, 22.94, 23.01, 70008172
03/27/24, 25.00, 25.48, 24.26, 24.51, 38600090
03/26/24, 24.76, 25.47, 24.4702, 24.89, 43610461
03/25/24, 24.12, 24.62, 24.05, 24.51, 29255900
03/22/24, 24.20, 24.475, 24.02, 24.18, 25453029
03/21/24, 25.30, 25.33, 24.44, 24.49, 37099609
03/20/24, 23.77, 24.65, 23.67, 24.57, 40273770
03/19/24, 23.50, 23.83, 22.92, 23.80, 43247246
03/18/24, 23.77, 24.18, 23.32, 24.00, 44083039
03/15/24, 23.85, 24.10, 23.42, 23.49, 61421000
03/14/24, 24.83, 24.97, 24.14, 24.43, 49214781
03/13/24, 24.70, 25.44, 24.60, 25.00, 59712992
03/12/24, 25.57, 25.64, 24.35, 24.70, 75202609
03/11/24, 25.89, 26.83, 25.29, 25.35, 60829273
03/08/24, 27.19, 27.28, 25.81, 26.04, 84256117
03/07/24, 27.01, 27.50, 26.38, 26.46, 117519297
03/06/24, 25.75, 26.75, 24.53, 26.16, 207386891
03/05/24, 23.96, 24.4092, 23.43, 23.81, 49542273
03/04/24, 24.40, 24.58, 23.53, 24.04, 64320031
03/01/24, 25.30, 25.69, 24.535, 24.93, 64794406
02/29/24, 24.81, 25.2928, 24.36, 25.08, 62753301
02/28/24, 24.52, 24.84, 24.245, 24.42, 47313980
02/27/24, 23.76, 24.62, 23.72, 24.53, 64967422
02/26/24, 23.03, 23.88, 22.94, 23.56, 46499480
02/23/24, 23.53, 24.07, 22.82, 22.97, 48840770
02/22/24, 23.77, 23.95, 23.05, 23.59, 64458246
02/21/24, 22.30, 22.9299, 22.29, 22.74, 60411461
02/20/24, 23.84, 24.00, 22.715, 23.40, 93374352
02/16/24, 24.96, 25.495, 24.39, 24.44, 65498230
02/15/24, 25.04, 25.46, 24.71, 25.41, 70544320
02/14/24, 24.15, 25.50, 23.755, 25.19, 97227930
02/13/24, 23.53, 24.66, 23.31, 24.01, 102293297
02/12/24, 23.91, 25.525, 23.82, 25.05, 108173000
02/09/24, 25.04, 25.11, 23.57, 24.38, 149062000
02/08/24, 23.96, 25.06, 23.32, 24.51, 212671109
02/07/24, 21.60, 23.87, 21.38, 23.60, 254911109
02/06/24, 20.30, 22.18, 19.76, 21.87, 421271500
02/05/24, 17.56, 17.87, 16.48, 16.72, 167698297
02/02/24, 16.34, 17.02, 16.145, 17.02, 57672680
02/01/24, 16.21, 16.4868, 16.03, 16.33, 40454379
01/31/24, 16.41, 16.76, 16.07, 16.09, 43582551
01/30/24, 17.04, 17.24, 16.66, 16.74, 36388180
01/29/24, 16.45, 17.11, 16.43, 17.09, 35987781
01/26/24, 16.40, 16.75, 16.34, 16.35, 28612150
01/25/24, 16.92, 17.00, 16.31, 16.46, 44589039
01/24/24, 17.51, 17.65, 16.735, 16.75, 42710699
01/23/24, 17.64, 17.73, 17.20, 17.33, 37794301
01/22/24, 17.46, 18.3503, 17.43, 17.60, 85573914
01/19/24, 16.57, 16.78, 16.15, 16.78, 40690633
01/18/24, 16.75, 16.81, 16.10, 16.40, 35239738
01/17/24, 16.26, 16.41, 16.05, 16.39, 30832779
01/16/24, 16.59, 16.74, 16.29, 16.53, 32659260
01/12/24, 16.68, 17.06, 16.62, 16.76, 33952551
01/11/24, 16.81, 16.93, 16.17, 16.68, 39552367
01/10/24, 16.50, 17.0299, 16.40, 16.79, 41254398
01/09/24, 16.51, 16.63, 16.28, 16.39, 35794473
01/08/24, 16.22, 16.89, 16.14, 16.67, 49089953
01/05/24, 15.70, 16.1279, 15.664, 15.98, 57700008
01/04/24, 16.05, 16.58, 15.95, 16.25, 39937699
01/03/24, 16.12, 16.38, 16.01, 16.09, 46865199
01/02/24, 16.95, 16.95, 16.50, 16.58, 41626680
12/29/23, 17.52, 17.64, 17.10, 17.17, 38943473
12/28/23, 17.46, 17.84, 17.42, 17.56, 38989961
12/27/23, 17.78, 17.91, 17.45, 17.47, 32918441
12/26/23, 17.44, 17.745, 17.3299, 17.68, 31750740
12/22/23, 17.70, 17.70, 17.325, 17.41, 33693793
12/21/23, 17.53, 17.74, 17.42, 17.59, 30493551
12/20/23, 17.87, 17.92, 17.19, 17.25, 58666898
12/19/23, 17.98, 18.19, 17.84, 17.95, 43530312
12/18/23, 18.21, 18.575, 17.77, 17.84, 60188152
12/15/23, 18.67, 19.15, 18.04, 18.20, 93307117
12/14/23, 18.17, 18.58, 17.72, 18.21, 67462758
12/13/23, 17.65, 17.90, 17.22, 17.87, 52682621
12/12/23, 17.69, 17.88, 17.2301, 17.50, 46231910
12/11/23, 17.97, 18.28, 17.70, 17.77, 50929621
12/08/23, 17.18, 17.92, 17.09, 17.77, 57542129
12/07/23, 17.22, 17.48, 17.08, 17.22, 56455000
12/06/23, 17.69, 17.83, 17.05, 17.13, 96110977
12/05/23, 18.25, 18.55, 17.96, 18.30, 54460848
12/04/23, 19.75, 19.90, 18.27, 18.40, 104948492
12/01/23, 19.93, 20.29, 19.55, 20.27, 61493672
11/30/23, 19.94, 20.23, 19.68, 20.05, 55500992
11/29/23, 19.945, 20.31, 19.78, 19.84, 62782113
11/28/23, 19.11, 19.80, 19.03, 19.71, 54170699
11/27/23, 19.13, 19.50, 18.62, 19.08, 58808180
11/24/23, 19.38, 19.60, 18.93, 19.20, 39800359
11/22/23, 20.26, 20.44, 19.33, 19.69, 68452461
11/21/23, 21.11, 21.85, 19.72, 19.80, 106643297
11/20/23, 20.65, 21.60, 20.56, 21.34, 90575570
11/17/23, 19.68, 20.58, 19.6587, 20.49, 69668727
11/16/23, 19.80, 19.875, 19.29, 19.77, 49942762
11/15/23, 19.90, 20.37, 19.611, 19.95, 75533445
11/14/23, 20.00, 20.10, 19.50, 19.94, 83230469
11/13/23, 19.59, 19.88, 19.30, 19.71, 74877453
11/10/23, 18.155, 19.72, 18.06, 19.67, 92955797
11/09/23, 18.66, 18.87, 18.16, 18.27, 48454199
11/08/23, 18.85, 18.93, 18.15, 18.49, 46063129
11/07/23, 18.86, 19.17, 18.53, 18.80, 56289102
11/06/23, 18.99, 19.08, 17.93, 18.54, 79952562
11/03/23, 18.02, 19.0789, 17.76, 18.89, 109302000
11/02/23, 17.48, 18.30, 17.2101, 17.97, 170406797
11/01/23, 14.80, 14.96, 14.48, 14.92, 54419070
10/31/23, 14.58, 15.01, 14.55, 14.80, 40195406
10/30/23, 15.27, 15.29, 14.56, 14.69, 46886422
10/27/23, 15.48, 15.60, 14.96, 15.07, 39913559
10/26/23, 15.60, 15.91, 15.05, 15.29, 49351801
10/25/23, 16.57, 16.63, 15.58, 15.59, 46706480
10/24/23, 16.38, 16.93, 16.30, 16.64, 39833762
10/23/23, 15.90, 16.34, 15.21, 16.20, 55967152
10/20/23, 16.85, 16.94, 15.81, 16.11, 63875488
10/19/23, 17.44, 17.5799, 16.97, 17.06, 46303219
10/18/23, 17.81, 18.22, 17.19, 17.20, 44208273
10/17/23, 17.00, 18.03, 16.91, 17.84, 54401289
10/16/23, 17.21, 17.46, 16.67, 17.36, 44987262
10/13/23, 18.06, 18.16, 17.27, 17.36, 54881953
10/12/23, 17.92, 18.24, 17.5508, 17.94, 57940930
10/11/23, 17.87, 18.44, 17.73, 17.92, 55745633
10/10/23, 18.06, 18.40, 17.62, 17.80, 99971508
10/09/23, 16.27, 17.83, 16.22, 17.61, 106161203
10/06/23, 15.56, 16.695, 15.51, 16.61, 65946320
10/05/23, 15.59, 15.90, 15.41, 15.81, 49648070
10/04/23, 15.46, 15.85, 15.16, 15.73, 52786238
10/03/23, 15.61, 15.77, 14.82, 14.90, 51578129
10/02/23, 16.03, 16.44, 15.77, 15.88, 41043910
09/29/23, 16.11, 16.81, 15.96, 16.00, 78055078
09/28/23, 15.14, 15.96, 14.825, 15.77, 66590820
09/27/23, 14.20, 14.96, 14.16, 14.85, 62780566
09/26/23, 13.95, 14.17, 13.88, 13.96, 37276207
09/25/23, 14.00, 14.24, 13.82, 14.22, 39693887
09/22/23, 14.23, 14.415, 14.03, 14.13, 47714539
09/21/23, 14.34, 14.599, 13.68, 14.00, 73071797
09/20/23, 15.25, 15.425, 14.7325, 14.74, 37640488
09/19/23, 15.34, 15.519, 14.95, 15.15, 37804840
09/18/23, 15.18, 15.63, 15.07, 15.46, 37404078
09/15/23, 15.77, 15.90, 15.17, 15.33, 56271180
09/14/23, 15.69, 16.04, 15.47, 15.83, 38572512
09/13/23, 15.63, 15.8496, 15.42, 15.60, 34354449
09/12/23, 15.46, 16.15, 15.43, 15.59, 39497922
09/11/23, 15.41, 16.10, 15.36, 15.79, 55294680
09/08/23, 15.12, 15.61, 15.085, 15.13, 34047559
09/07/23, 14.88, 15.24, 14.29, 15.21, 51798781
09/06/23, 15.17, 15.62, 15.08, 15.30, 38738078
09/05/23, 15.08, 15.42, 14.90, 15.21, 33818434
09/01/23, 15.16, 15.365, 14.83, 15.18, 45258898
08/31/23, 15.60, 15.85, 14.65, 14.98, 101517203
08/30/23, 15.46, 16.35, 15.33, 16.33, 65674062
